movie_title,genre
"O Brother, Where Art Thou?",Comedy
Double Take,Action
Recess: School's Out,Comedy
Just Visiting,Comedy
Pearl Harbor,Action
Atlantis: The Lost Empire,Adventure
crazy/beautiful,Drama
The Princess Diaries,Comedy
Bubble Boy,Comedy
Max Keeble's Big Move,Comedy
Corky Romano,Comedy
High Heels and Low Lifes,
"Monsters, Inc.",Adventure
Out Cold,Comedy
The Royal Tenenbaums,Black Comedy
Beauty and the Beast (IMAX),Musical
Frank McKlusky C.I.,
Snow Dogs,Comedy
The Count of Monte Cristo,Drama
Peter Pan: Return to Neverland,Adventure
Reign of Fire,Action
Sorority Boys,Comedy
The Rookie,Drama
Big Trouble,Comedy
ESPN's Ultimate X - The Movie,Documentary
Bad Company,Action
Lilo & Stitch,Adventure
The Country Bears,Adventure
Signs,Thriller/Suspense
Sen to Chihiro no Kamikakushi,Adventure
Sweet Home Alabama,Comedy
Moonlight Mile,Drama
Tuck Everlasting,Drama
The Santa Clause 2,Comedy
Treasure Planet,Adventure
The Hot Chick,Comedy
25th Hour,Drama
The Recruit,Thriller/Suspense
Shanghai Knights,Adventure
The Jungle Book 2,Adventure
Bringing Down the House,Comedy
Piglet's Big Movie,Comedy
Ghosts of the Abyss,Documentary
Holes,Drama
The Lizzie McGuire Movie,Comedy
Finding Nemo,Adventure
Pirates of the Caribbean: The Curse o…,Adventure
Freaky Friday,Comedy
Open Range,Western
Cold Creek Manor,Thriller/Suspense
Under the Tuscan Sun,Comedy
Veronica Guerin,Drama
Brother Bear,Adventure
The Haunted Mansion,Comedy
Calendar Girls,Comedy
Young Black Stallion,Adventure
Teacher's Pet: The Movie,Comedy
Miracle,Drama
Confessions of a Teenage Drama Queen,Comedy
Hidalgo,Western
The Ladykillers,Comedy
Home on the Range,Comedy
The Alamo,Western
Raising Helen,Comedy
Around the World in 80 Days,Adventure
America's Heart and Soul,Documentary
King Arthur,Adventure
The Village,Thriller/Suspense
The Princess Diaries 2: Royal Engagement,Romantic Comedy
Mr. 3000,Comedy
The Last Shot,Comedy
Ladder 49,Action
The Incredibles,Adventure
